domain,historical_protocol,seed,test_battery,cutoff,Qref_Ah,replay_origins,R_TRAIL_Lite,R_TRAIL_full,chosen_candidate,effective_model,alpha,Local_SOH_RMSE,Lite_SOH_RMSE,Full_SOH_RMSE,Policy_SOH_RMSE,Local_RMSE_Ah,Lite_RMSE_Ah,Full_RMSE_Ah,Policy_RMSE_Ah,Policy_MAE_Ah,complexity_adopted,policy_worse_than_local,chosen_candidate_worse_than_local,policy_error_growth_slope_SOH,policy_max_abs_error_SOH,chosen_mean_replay_SOH_RMSE,chosen_worst_replay_SOH_RMSE,chosen_replay_SOH_RMSE_MAD,chosen_worst_replay_error_growth_slope_SOH,chosen_worst_replay_max_abs_error_SOH
NASA,EXP27_NASA,42,B0005,50,1.8460546215871638,"[20, 30, 40]",-0.11440942695791302,-1.9459418724585817,TRAIL_Lite,Local_linear_anchor,0.0,0.17019323757958016,0.08138318368099802,0.04586242861211635,0.17019323757958016,0.31418601279666614,0.15023780235378345,0.08466454829660876,0.31418601279666614,0.2811430746150558,0,0,0,0.25756058427038797,0.25712985410121797,0.007487478941021195,0.009861000338856455,0.0014499222761215997,0.011375347789024827,0.017313132400332915
NASA,EXP27_NASA,42,B0005,70,1.8460546215871638,"[28, 42, 56]",-0.09959265033629834,-0.20824774109278382,TRAIL_Lite,Local_linear_anchor,0.0,0.0812904231279747,0.07579309482605769,0.051190633360795115,0.0812904231279747,0.15006656130617377,0.13991819298803795,0.09450070529766987,0.15006656130617377,0.12119691546404063,0,0,0,0.16241790018234395,0.16395357719297385,0.011123951651262122,0.011566323744464431,0.00020944065437193682,0.018740428696034865,0.029489633808987052
NASA,EXP27_NASA,42,B0005,90,1.8460546215871638,"[36, 54, 72]",-1.987759610907929,-1.0854666768503856,TRAIL_full,Local_linear_anchor,0.0,0.031645022184526604,0.04489433871463311,0.02986518641786207,0.031645022184526604,0.05841843945397366,0.08287740146724798,0.05513276541125647,0.05841843945397366,0.05308284921772183,0,0,0,0.04149018581014605,0.04611016983417176,0.02126534305433303,0.02900079016024071,0.004369766260034689,0.06021631400620093,0.062210778689533126
NASA,EXP27_NASA,42,B0006,50,2.0246014027941577,"[20, 30, 40]",0.06815063518872032,-0.8128503119448364,TRAIL_Lite,TRAIL_Lite,0.06815063518872032,0.28474270456115025,0.09641023560636526,0.08664204126033079,0.27179608760831153,0.5764904790899072,0.19519229825236237,0.17541559827661501,0.5502787402457513,0.4963029517617457,1,0,0,0.3998989513665388,0.4482703191138076,0.018250920171110338,0.020364125693501465,0.0002856158848444264,0.04107648809605655,0.04255765579607378
NASA,EXP27_NASA,42,B0006,70,2.0246014027941577,"[28, 42, 56]",-0.6210815575862626,-0.8440563237468202,TRAIL_Lite,Local_linear_anchor,0.0,0.1635219825841164,0.021000800586940403,0.028474955537467084,0.1635219825841164,0.3310668353274839,0.04251825032811991,0.05765043492565713,0.3310668353274839,0.2859114125492043,0,0,0,0.28140026668839596,0.26976689041502083,0.02073313963756671,0.03882249274199969,0.000978092892311275,0.02620588639002358,0.05860991555677289
NASA,EXP27_NASA,42,B0006,90,2.0246014027941577,"[36, 54, 72]",0.21370339989768497,0.30356777115553,TRAIL_full,TRAIL_full,0.30356777115553,0.09225950012988869,0.022445692106112344,0.038269202878564675,0.07571286609853334,0.18678871338406042,0.0454435797247208,0.07747988183175626,0.15328837491265682,0.12860277677448306,1,0,0,0.13866616872466633,0.14620839927715024,0.029550994424984312,0.04738724689442324,0.011478070532270918,0.057047704333136565,0.06602781293086463
NASA,EXP27_NASA,42,B0007,50,1.8841173315929292,"[20, 30, 40]",-0.752454433732713,-1.1343458093914505,TRAIL_Lite,Local_linear_anchor,0.0,0.08978890960472717,0.010535497268070416,0.034386658113861684,0.08978890960472717,0.1691728407710973,0.019850112999721427,0.06478849852788743,0.1691728407710973,0.1558112080538772,0,0,0,0.11514221031998699,0.12810338370522306,0.007849275626232369,0.009328944872645014,0.0011527483211003177,0.012031902762589808,0.015727497190449014
NASA,EXP27_NASA,42,B0007,70,1.8841173315929292,"[28, 42, 56]",0.14224777715195822,0.2585184962189838,TRAIL_full,TRAIL_full,0.2585184962189838,0.0809489323370706,0.011763711780347868,0.034087283056783525,0.06859444147429772,0.15251728639021803,0.02216421324921733,0.06422444079419984,0.12923997603266116,0.1084599454203853,1,0,0,0.12725197845484737,0.12580172914550464,0.006572761316269625,0.00958619197784733,0.0018007981836276757,0.010343247469746715,0.016120064371782917
NASA,EXP27_NASA,42,B0007,90,1.8841173315929292,"[36, 54, 72]",0.45056160409673085,0.07471752119580612,TRAIL_Lite,TRAIL_Lite,0.45056160409673085,0.06920822843037658,0.02229484115057222,0.03377145279929767,0.029340949540966638,0.130396422674515,0.04200609661690436,0.06362937953222929,0.05528179155552884,0.0453148295609243,1,0,0,0.05632214587069407,0.05594278675031058,0.005191104498449746,0.006925798242442142,0.0015609926750444134,0.0058335375826808426,0.01186197839098922
NASA,EXP27_NASA,42,B0018,50,1.845933964978541,"[20, 30, 40]",-0.763698819755218,-0.6455630481842072,TRAIL_full,Local_linear_anchor,0.0,0.2897604907174693,0.055612405465991735,0.022902189678905838,0.2897604907174693,0.5348787315242258,0.10265682812383241,0.04227592980067327,0.5348787315242258,0.4766608362556377,0,0,0,0.44537270631446313,0.46119162938926117,0.02984668047282854,0.04460891841902733,0.006010565343249525,0.024136780246897218,0.07061393671031
NASA,EXP27_NASA,42,B0018,70,1.845933964978541,"[28, 42, 56]",-2.464112398563124,-1.3804886987399665,TRAIL_full,Local_linear_anchor,0.0,0.12792554361713146,0.011074205241419763,0.02294958105560311,0.12792554361713146,0.23614210595120674,0.02044225159028012,0.04236341115256585,0.23614210595120674,0.19771997927239515,0,0,0,0.23607860292093913,0.22745458301192506,0.02058390318088461,0.024932237712217867,0.00309188203825915,0.01930013569259517,0.050267388238017414
NASA,EXP27_NASA,42,B0018,90,1.845933964978541,"[36, 54, 72]",-4.914971150121727,-1.831779412211601,TRAIL_full,Local_linear_anchor,0.0,0.008679542545592014,0.015722015023878568,0.037633149653794724,0.008679542545592014,0.016021862385384604,0.029021801530480357,0.0694683091550601,0.016021862385384604,0.01265073600961816,0,0,1,-0.0033521215191364274,0.019403606350100012,0.02613549658729446,0.03733984252706987,0.005724370262502679,0.047815699589607276,0.05523703994592307
NASA,EXP27_NASA,2024,B0005,50,1.8460546215871638,"[20, 30, 40]",-2.359676708929965,-0.9764358884334845,TRAIL_full,Local_linear_anchor,0.0,0.17019323757958016,0.047853687762945164,0.13606401258769105,0.17019323757958016,0.31418601279666614,0.08834052145477403,0.2511815992692011,0.31418601279666614,0.2811430746150558,0,0,0,0.25756058427038797,0.25712985410121797,0.01123461828449125,0.022629924476122602,0.003059484401489793,0.043557402015232775,0.04533902336257139
NASA,EXP27_NASA,2024,B0005,70,1.8460546215871638,"[28, 42, 56]",0.07934145273800608,-0.37515625701668853,TRAIL_Lite,TRAIL_Lite,0.07934145273800608,0.0812904231279747,0.05022232525871392,0.08785492507564581,0.07100918829251668,0.15006656130617377,0.09271315565070258,0.16218499046508997,0.13108684022255354,0.10508467919954204,1,0,0,0.14339693739586432,0.14567054876636115,0.016681118000630903,0.029582618018545833,0.012077954122453948,0.01906737165291347,0.04857992989908386
NASA,EXP27_NASA,2024,B0005,90,1.8460546215871638,"[36, 54, 72]",-1.5127453652195142,-1.5879410819964683,TRAIL_Lite,Local_linear_anchor,0.0,0.031645022184526604,0.030241016536690712,0.04265608964942991,0.031645022184526604,0.05841843945397366,0.05582656833905174,0.07874547143616646,0.05841843945397366,0.05308284921772183,0,0,0,0.04149018581014605,0.04611016983417176,0.013403855184305258,0.016075098493939597,0.0003573423624182101,0.028009658774061755,0.03147254612173829
NASA,EXP27_NASA,2024,B0006,50,2.0246014027941577,"[20, 30, 40]",-0.01408448869046731,-0.950112512908098,TRAIL_Lite,Local_linear_anchor,0.0,0.28474270456115025,0.047617534679709264,0.031540866670370024,0.28474270456115025,0.5764904790899072,0.09640652751013883,0.06385768290617465,0.5764904790899072,0.5191245155072747,0,0,0,0.42215562301066073,0.4697119022413483,0.014009627253562936,0.018556382767260567,0.0036825155513955845,0.030321013346025705,0.032447674722429286
NASA,EXP27_NASA,2024,B0006,70,2.0246014027941577,"[28, 42, 56]",-0.5522407813153203,-0.35375129308473535,TRAIL_full,Local_linear_anchor,0.0,0.1635219825841164,0.027564605304573275,0.04318939153325485,0.1635219825841164,0.3310668353274839,0.05580733856710633,0.08744130268405388,0.3310668353274839,0.2859114125492043,0,0,0,0.28140026668839596,0.26976689041502083,0.021681511323907,0.03701836335340948,0.007687833083821344,0.03521701582306221,0.05183201896482122
NASA,EXP27_NASA,2024,B0006,90,2.0246014027941577,"[36, 54, 72]",-0.13472349663393976,-0.032360454585544915,TRAIL_full,Local_linear_anchor,0.0,0.09225950012988869,0.011353243497066498,0.022481682555585872,0.09225950012988869,0.18678871338406042,0.02298579271042448,0.0455164460392121,0.18678871338406042,0.15783779930571226,0,0,0,0.1670598995290673,0.17264158549586942,0.01900934657745975,0.023433030461895227,0.0013545863298460546,0.03071332525697771,0.04014152721491998
NASA,EXP27_NASA,2024,B0007,50,1.8841173315929292,"[20, 30, 40]",-0.6437666861349534,-3.7776126805721395,TRAIL_Lite,Local_linear_anchor,0.0,0.08978890960472717,0.01134193674664367,0.09950747367558535,0.08978890960472717,0.1691728407710973,0.02136953959818206,0.18748375577519752,0.1691728407710973,0.1558112080538772,0,0,0,0.11514221031998699,0.12810338370522306,0.005065505213548766,0.007209076590379826,0.0010108698703476578,0.0027740099483428817,0.013053781630727894
